struct,subject,feature,family,cov,n_raters
ov,D1-001,shape_elong_31,shape,0.2788506958077288,3
ov,D1-001,shape_flatness,shape,0.3031433874382985,3
ov,D1-001,shape_sa_vol_norm,shape,0.04865045175113102,3
ov,D1-001,shape_sphericity,shape,0.04703266764693054,3
ov,D1-001,size_area_mm2,size,0.049890138433731225,3
ov,D1-001,size_bbox_diag,size,0.015701389652427268,3
ov,D1-001,size_bbox_x,size,0.057569007793820966,3
ov,D1-001,size_bbox_y,size,0.026448434090436953,3
ov,D1-001,size_bbox_z,size,0.14184281539775537,3
ov,D1-001,size_centroid,size,0.011713797943656425,3
ov,D1-001,size_volume_mm3,size,0.13957998491014895,3
ov,D1-002,shape_aniso,shape,0.010298735982441106,3
ov,D1-002,shape_aspect_yx,shape,0.048624991520477535,3
ov,D1-002,shape_aspect_zx,shape,0.034489998783132775,3
ov,D1-002,shape_elong_21,shape,0.26724455473454317,3
ov,D1-002,shape_elong_31,shape,0.2866899375214084,3
ov,D1-002,shape_flatness,shape,0.07372728950206474,3
ov,D1-002,shape_sa_vol_norm,shape,0.10108586746429567,3
ov,D1-002,shape_sphericity,shape,0.10545282668199771,3
ov,D1-002,size_area_mm2,size,0.2934102701110277,3
ov,D1-002,size_bbox_diag,size,0.05446047353628478,3
ov,D1-002,size_bbox_x,size,0.04987116130800549,3
ov,D1-002,size_bbox_y,size,0.07478237977063511,3
ov,D1-002,size_bbox_z,size,0.07518131103062634,3
ov,D1-002,size_centroid,size,0.07091195965679972,3
ov,D1-002,size_volume_mm3,size,0.29731929898566384,3
ov,D1-003,shape_aniso,shape,0.00030883876036877264,2
ov,D1-003,shape_aspect_yx,shape,0.007727115614713354,2
ov,D1-003,shape_aspect_zx,shape,0.006658013454133049,2
ov,D1-003,shape_elong_21,shape,0.04865906762155478,2
ov,D1-003,shape_elong_31,shape,0.014421525325224487,2
ov,D1-003,shape_flatness,shape,0.06303635794054323,2
ov,D1-003,shape_sa_vol_norm,shape,0.005957357595813256,2
ov,D1-003,shape_sphericity,shape,0.005957357595813249,2
ov,D1-003,size_area_mm2,size,0.014587192043141142,2
ov,D1-003,size_bbox_diag,size,0.009973074266130711,2
ov,D1-003,size_bbox_x,size,0.010645284673627495,2
ov,D1-003,size_bbox_y,size,0.002918409119501145,2
ov,D1-003,size_bbox_z,size,0.003987553843149375,2
ov,D1-003,size_centroid,size,0.0006791408779050158,2
ov,D1-003,size_volume_mm3,size,0.03080872913992298,2
ov,D1-004,shape_aniso,shape,0.003346156028569773,3
ov,D1-004,shape_aspect_yx,shape,0.05223824021397517,3
ov,D1-004,shape_aspect_zx,shape,0.025253270803929802,3
ov,D1-004,shape_elong_21,shape,0.16379204682402732,3
ov,D1-004,shape_elong_31,shape,0.04917236073278581,3
ov,D1-004,shape_flatness,shape,0.11058658018262142,3
ov,D1-004,shape_sa_vol_norm,shape,0.03881649227750298,3
ov,D1-004,shape_sphericity,shape,0.039838301794291237,3
ov,D1-004,size_area_mm2,size,0.16458016701454745,3
ov,D1-004,size_bbox_diag,size,0.03836985939272091,3
ov,D1-004,size_bbox_x,size,0.029839058170566164,3
ov,D1-004,size_bbox_y,size,0.06545687020890695,3
ov,D1-004,size_bbox_z,size,0.026305623105025808,3
ov,D1-004,size_centroid,size,0.0772063912480403,3
ov,D1-004,size_volume_mm3,size,0.18933389354712601,3
ov,D1-006,shape_aniso,shape,0.04696501925910106,3
ov,D1-006,shape_aspect_yx,shape,0.3915513884731847,3
ov,D1-006,shape_aspect_zx,shape,0.4179239969882721,3
ov,D1-006,shape_elong_21,shape,0.6920023502444778,3
ov,D1-006,shape_elong_31,shape,0.7797180021948564,3
ov,D1-006,shape_flatness,shape,0.12710729390470826,3
ov,D1-006,shape_sa_vol_norm,shape,0.18692954617050064,3
ov,D1-006,shape_sphericity,shape,0.1652994603162715,3
ov,D1-006,size_area_mm2,size,0.6061939832141064,3
ov,D1-006,size_bbox_diag,size,0.08950573005658492,3
ov,D1-006,size_bbox_x,size,0.016438304778109973,3
ov,D1-006,size_bbox_y,size,0.38917373465687166,3
ov,D1-006,size_bbox_z,size,0.41861675352649025,3
ov,D1-006,size_centroid,size,0.045102312096745034,3
ov,D1-006,size_volume_mm3,size,0.6117723435455747,3
ov,D1-007,shape_aniso,shape,0.15512599958807996,3
ov,D1-007,shape_aspect_yx,shape,0.1603101604715212,3
ov,D1-007,shape_aspect_zx,shape,0.23643283192441586,3
ov,D1-007,shape_elong_21,shape,0.5894276382230779,3
ov,D1-007,shape_elong_31,shape,0.9764345090983931,3
ov,D1-007,shape_flatness,shape,0.6598515516520913,3
